ticker,company_name
WSO,Watsco Inc.
WWD,Woodward Inc.
IEX,IDEX Corporation
SNA,Snap-on Incorporated
PNR,Pentair plc
NDSN,Nordson Corporation
GGG,Graco Inc.
LECO,Lincoln Electric Holdings Inc.
HOLX,Hologic Inc.
TECH,Bio-Techne Corporation
ALGN,Align Technology Inc.
MOH,Molina Healthcare Inc.
DGX,Quest Diagnostics Incorporated
WAT,Waters Corporation
CRL,Charles River Laboratories International Inc.
PODD,Insulet Corporation
HAS,Hasbro Inc.
TAP,Molson Coors Beverage Company
WHR,Whirlpool Corporation
COLM,Columbia Sportswear Company
FLO,Flowers Foods Inc.
POST,Post Holdings Inc.
NWL,Newell Brands Inc.
TPX,Tempur Sealy International Inc.
MANH,Manhattan Associates Inc.
PCTY,Paylocity Holding Corporation
DBX,Dropbox Inc.
AKAM,Akamai Technologies Inc.
FFIV,F5 Inc.
ENTG,Entegris Inc.
CGNX,Cognex Corporation
LSCC,Lattice Semiconductor Corporation
CFR,Cullen/Frost Bankers Inc.
PB,Prosperity Bancshares Inc.
EWBC,East West Bancorp Inc.
WAL,Western Alliance Bancorporation
OZK,Bank OZK
WTFC,Wintrust Financial Corporation
FNB,F.N.B. Corporation
SSB,SouthState Corporation
CHRD,Chord Energy Corporation
MTDR,Matador Resources Company
RRC,Range Resources Corporation
MGY,Magnolia Oil & Gas Corporation
MUR,Murphy Oil Corporation
EXP,Eagle Materials Inc.
BLD,TopBuild Corp.
OC,Owens Corning
STLD,Steel Dynamics Inc.
RS,Reliance Inc.
